Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecadacao_Total,Ganhadores_15_Números,Cidade,UF,Ganhadores_14_Números,Ganhadores_13_Números,Ganhadores_12_Números,Ganhadores_11_Números,Valor_Rateio_15_Números,Valor_Rateio_14_Números,Valor_Rateio_13_Números,Valor_Rateio_12_Números,Valor_Rateio_11_Números,Acumulado_15_Números,Estimativa_Premio,Valor_Acumulado_Especial
1,29/09/2003,18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,000,5,,BA,154,4645,48807,257593,49.76582,68984.0,1000,400,200,000,000,000
1,29/09/2003,18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,000,5,,PR,154,4645,48807,257593,49.76582,68984.0,1000,400,200,000,000,000
1,29/09/2003,18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,000,5,,SP,154,4645,48807,257593,49.76582,68984.0,1000,400,200,000,000,000
1,29/09/2003,18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,000,5,,SP,154,4645,48807,257593,49.76582,68984.0,1000,400,200,000,000,000
1,29/09/2003,18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,000,5,,SP,154,4645,48807,257593,49.76582,68984.0,1000,400,200,000,000,000
2,06/10/2003,23,15,5,4,12,16,20,6,11,19,24,1,9,13,7,000,1,,SP,184,6232,81252,478188,596.32370,1.38895,1000,400,200,000,000,000
3,13/10/2003,20,23,12,8,6,1,7,11,14,4,16,10,9,17,24,000,2,,SP,158,6897,96244,608211,400.62370,2.17336,1000,400,200,000,000,000
3,13/10/2003,20,23,12,8,6,1,7,11,14,4,16,10,9,17,24,000,2,,SP,158,6897,96244,608211,400.62370,2.17336,1000,400,200,000,000,000
4,20/10/2003,16,5,25,24,23,8,12,2,17,18,1,10,4,19,13,000,1,,MT,258,9569,123912,706657,902.22602,1.49872,1000,400,200,000,000,000
5,27/10/2003,15,13,20,2,11,24,9,16,4,23,25,12,8,19,1,000,2,,BA,472,14736,195636,860992,380.01755,68749.0,1000,400,200,000,000,000
5,27/10/2003,15,13,20,2,11,24,9,16,4,23,25,12,8,19,1,000,2,,MS,472,14736,195636,860992,380.01755,68749.0,1000,400,200,000,000,000
6,03/11/2003,23,19,1,5,7,21,16,10,15,25,6,2,12,4,17,000,2,,RJ,393,14242,162320,888301,489.14006,1.06683,1000,400,200,000,000,000
6,03/11/2003,23,19,1,5,7,21,16,10,15,25,6,2,12,4,17,000,2,,RS,393,14242,162320,888301,489.14006,1.06683,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,BA,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,DF,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,GO,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,GO,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,MG,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,RJ,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,RJ,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,RS,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
7,10/11/2003,22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,000,9,,SP,1333,25878,206828,967358,104.62529,30159.0,1000,400,200,000,000,000
8,17/11/2003,19,16,18,9,13,8,5,25,17,10,6,15,1,22,20,000,1,,BA,256,11414,149037,926910,1.201.95808,2.01221,1000,400,200,000,000,000
9,24/11/2003,21,4,17,5,3,13,16,9,20,24,25,19,11,15,10,000,3,,PR,407,14973,213511,1104328,336.05365,1.0616,1000,400,200,000,000,000
9,24/11/2003,21,4,17,5,3,13,16,9,20,24,25,19,11,15,10,000,3,,SP,407,14973,213511,1104328,336.05365,1.0616,1000,400,200,000,000,000
9,24/11/2003,21,4,17,5,3,13,16,9,20,24,25,19,11,15,10,000,3,,SP,407,14973,213511,1104328,336.05365,1.0616,1000,400,200,000,000,000
10,01/12/2003,24,19,8,23,6,2,20,11,9,3,4,10,5,12,14,000,0, , ,380,15767,207355,1186563,000,1.15708,1000,400,200,1.025.94500,000,000
11,08/12/2003,24,9,8,19,20,22,6,10,11,16,7,25,23,2,12,000,0, , ,306,14249,216679,1343171,000,1.85582,1000,400,200,2.351.00093,000,000
12,15/12/2003,11,5,25,1,9,8,16,4,7,24,17,2,12,14,10,000,1,,GO,631,24400,322557,1607584,3.490.96618,77132.0,1000,400,200,000,000,000
13,22/12/2003,13,6,10,5,8,14,3,11,16,15,9,17,19,7,23,000,3,,PR,714,27399,320961,1501354,269.15725,48284.0,1000,400,200,000,000,000
13,22/12/2003,13,6,10,5,8,14,3,11,16,15,9,17,19,7,23,000,3,,RJ,714,27399,320961,1501354,269.15725,48284.0,1000,400,200,000,000,000
13,22/12/2003,13,6,10,5,8,14,3,11,16,15,9,17,19,7,23,000,3,,SP,714,27399,320961,1501354,269.15725,48284.0,1000,400,200,000,000,000
14,29/12/2003,14,21,13,19,20,6,9,5,7,23,18,1,15,2,25,000,3,,RS,444,15413,214582,1149506,411.36289,1.19121,1000,400,200,000,000,000
14,29/12/2003,14,21,13,19,20,6,9,5,7,23,18,1,15,2,25,000,3,,SP,444,15413,214582,1149506,411.36289,1.19121,1000,400,200,000,000,000
14,29/12/2003,14,21,13,19,20,6,9,5,7,23,18,1,15,2,25,000,3,,SP,444,15413,214582,1149506,411.36289,1.19121,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,DF,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,DF,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,DF,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,ES,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,GO,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,MG,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,MG,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,MG,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,MT,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,PE,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,PR,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,PR,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,RJ,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,RJ,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
15,05/01/2004,23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,000,22,,SP,2059,38038,379994,1198158,27.52568,12558.0,1000,400,200,000,000,000
