Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,Arrecadacao_Total,Ganhadores_Quina,Cidade,UF,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Ganhadores_Terno,Rateio_Terno,Ganhadores_Duque,Rateio_Duque,Acumulado,Valor_Acumulado,Estimativa_Premio,Valor_Acumulado_Sorteio_Especial_São_João
1,13/03/1994,25,45,60,76,79,000,3,&nbsp,&nbsp,75.731.22500,127,1.788.92700,7030,42.982,0,0,NÃO,000,000,000
2,17/03/1994,13,30,58,63,64,000,1,&nbsp,&nbsp,118.499.39700,105,1.128.56500,4861,32.422,0,0,NÃO,000,000,000
3,20/03/1994,5,15,32,33,48,000,1,&nbsp,&nbsp,154.244.27000,232,664.84600,10196,20.12,0,0,NÃO,000,000,000
4,24/03/1994,27,57,60,61,77,000,1,&nbsp,&nbsp,124.185.24600,78,1.592.11900,4033,40.954,0,0,NÃO,000,000,000
5,27/03/1994,19,44,53,54,71,000,1,&nbsp,&nbsp,147.595.71500,137,1.077.34100,5338,36.774,0,0,NÃO,000,000,000
6,03/04/1994,4,45,54,65,67,000,1,&nbsp,&nbsp,165.397.87900,157,1.053.49000,7286,30.192,0,0,NÃO,000,000,000
7,07/04/1994,9,21,37,42,68,000,2,&nbsp,&nbsp,77.956.04800,153,1.019.03300,5621,36.891,0,0,NÃO,000,000,000
8,10/04/1994,5,16,26,28,62,000,0,&nbsp,&nbsp,000,178,1.208.14000,8290,34.501,0,0,SIM,215.049.00600,000,000
9,14/04/1994,4,15,44,64,73,000,0,&nbsp,&nbsp,000,160,1.486.21700,7584,41.701,0,0,SIM,452.843.74300,000,000
10,17/04/1994,20,32,49,54,62,000,0,&nbsp,&nbsp,000,117,2.414.36100,6089,61.701,0,0,SIM,735.323.91300,000,000
11,24/04/1994,17,33,52,60,76,000,3,&nbsp,&nbsp,417.312.85800,265,1.949.48900,12691,54.14,0,0,NÃO,000,000,000
12,28/04/1994,1,28,56,65,79,000,1,&nbsp,&nbsp,184.669.45900,139,1.328.55700,5837,42.078,0,0,NÃO,000,000,000
13,01/05/1994,13,33,38,39,72,000,0,&nbsp,&nbsp,000,115,2.006.01800,7233,42.419,0,0,SIM,230.692.10900,000,000
14,05/05/1994,44,52,60,64,68,000,1,&nbsp,&nbsp,525.124.01500,106,2.777.65900,4708,83.176,0,0,NÃO,000,000,000
15,08/05/1994,2,25,54,63,66,000,1,&nbsp,&nbsp,277.319.45700,98,2.829.79000,5358,68.838,0,0,NÃO,000,000,000
16,12/05/1994,11,24,63,64,69,000,2,&nbsp,&nbsp,110.528.73800,109,2.028.05000,4883,60.21,0,0,NÃO,000,000,000
17,15/05/1994,1,14,26,34,72,000,2,&nbsp,&nbsp,133.857.23900,104,2.574.17800,5667,62.831,0,0,NÃO,000,000,000
18,19/05/1994,6,29,40,63,72,000,1,&nbsp,&nbsp,212.643.15300,53,4.012.13500,3028,93.4,0,0,NÃO,000,000,000
19,22/05/1994,12,21,42,60,66,000,1,&nbsp,&nbsp,251.357.05100,79,3.181.73500,4768,70.114,0,0,NÃO,000,000,000
20,26/05/1994,13,16,31,39,70,000,1,&nbsp,&nbsp,213.833.57000,110,1.943.94200,4906,57.969,0,0,NÃO,000,000,000
21,29/05/1994,5,15,38,48,77,000,0,&nbsp,&nbsp,000,175,1.454.26900,7632,44.351,0,0,SIM,254.496.96600,000,000
22,05/06/1994,7,9,11,25,75,000,4,&nbsp,&nbsp,174.093.58100,458,964.79800,17646,33.305,0,0,NÃO,000,000,000
23,09/06/1994,1,15,63,72,77,000,0,&nbsp,&nbsp,000,102,2.851.83100,4288,90.223,0,0,SIM,290.886.67700,000,000
24,12/06/1994,9,44,57,67,68,000,0,&nbsp,&nbsp,000,85,4.746.21300,5511,97.362,0,0,SIM,694.314.77700,000,000
25,16/06/1994,2,29,46,69,76,000,2,&nbsp,&nbsp,579.215.95700,174,2.667.34000,7175,86.031,0,0,NÃO,000,000,000
26,19/06/1994,10,15,22,55,79,000,1,&nbsp,&nbsp,367.630.87200,186,1.976.51000,7670,63.748,0,0,NÃO,000,000,000
27,23/06/1994,5,36,39,70,78,000,0,&nbsp,&nbsp,000,76,3.679.14800,3663,101.525,0,0,SIM,279.615.23900,000,000
28,26/06/1994,8,26,28,29,30,000,2,&nbsp,&nbsp,317.283.64600,318,1.116.20100,7677,61.494,0,0,NÃO,000,000,000
29,03/07/1994,20,23,31,35,76,000,0,&nbsp,&nbsp,000,87,1.70279,4456,4422.0,0,0,SIM,148.14289,000,000
30,07/07/1994,12,13,14,56,60,000,1,&nbsp,&nbsp,271.36673,190,64855,6909,2373.0,0,0,NÃO,000,000,000
31,10/07/1994,43,51,54,69,73,000,1,&nbsp,&nbsp,140.70731,96,1.46570,4004,4675.0,0,0,NÃO,000,000,000
32,14/07/1994,9,23,31,60,80,000,0,&nbsp,&nbsp,000,106,1.08792,5217,2940.0,0,0,SIM,115.32007,000,000
33,18/07/1994,21,31,44,65,74,000,0,&nbsp,&nbsp,000,58,2.73259,3743,5632.0,0,0,SIM,273.81056,000,000
34,21/07/1994,17,45,64,67,69,000,0,&nbsp,&nbsp,000,172,90840,7558,2750.0,0,0,SIM,430.05517,000,000
35,24/07/1994,44,52,54,56,60,000,2,&nbsp,&nbsp,322.76741,278,77511,7007,4090.0,0,0,NÃO,000,000,000
36,28/07/1994,42,56,62,65,79,000,0,&nbsp,&nbsp,000,136,1.01784,5188,3550.0,0,0,SIM,138.42604,000,000
37,31/07/1994,9,26,31,36,65,000,0,&nbsp,&nbsp,000,118,1.66328,7538,3464.0,0,0,SIM,000,000,000
38,04/08/1994,11,12,57,59,69,000,1,&nbsp,&nbsp,572.57733,179,1.32896,9813,3224.0,0,0,NÃO,000,000,000
39,07/08/1994,5,7,21,28,70,000,3,&nbsp,&nbsp,66.72022,321,62356,13197,2017.0,0,0,NÃO,000,000,000
40,11/08/1994,2,18,31,38,49,000,2,&nbsp,&nbsp,88.09596,180,97884,7961,2944.0,0,0,NÃO,000,000,000
41,14/08/1994,5,14,31,41,49,000,5,,BA,40.00893,292,68509,10350,2571.0,0,0,NÃO,000,200.00000,000
41,14/08/1994,5,14,31,41,49,000,5,,DF,40.00893,292,68509,10350,2571.0,0,0,NÃO,000,200.00000,000
41,14/08/1994,5,14,31,41,49,000,5,,RJ,40.00893,292,68509,10350,2571.0,0,0,NÃO,000,200.00000,000
41,14/08/1994,5,14,31,41,49,000,5,,RJ,40.00893,292,68509,10350,2571.0,0,0,NÃO,000,200.00000,000
41,14/08/1994,5,14,31,41,49,000,5,,RJ,40.00893,292,68509,10350,2571.0,0,0,NÃO,000,200.00000,000
42,18/08/1994,15,33,39,76,78,000,1,&nbsp,&nbsp,176.14702,168,1.04849,7021,3337.0,0,0,NÃO,000,000,000
43,21/08/1994,5,18,21,41,71,000,1,&nbsp,&nbsp,216.65642,204,1.06204,10453,2757.0,0,0,NÃO,000,000,000
44,25/08/1994,2,7,57,59,76,000,2,&nbsp,&nbsp,96.26030,162,1.18840,8076,3171.0,0,0,NÃO,000,000,000
45,28/08/1994,2,3,27,64,65,000,2,&nbsp,&nbsp,109.59902,194,1.12989,9899,2945.0,0,0,NÃO,000,000,000
46,01/09/1994,30,49,72,78,80,000,1,&nbsp,&nbsp,191.01519,140,1.36440,6625,3835.0,0,0,NÃO,000,000,000
47,04/09/1994,10,18,22,31,73,000,1,&nbsp,&nbsp,224.60133,213,1.05447,10178,2936.0,0,0,NÃO,000,000,000
48,11/09/1994,20,39,72,73,76,000,0,&nbsp,&nbsp,000,98,3.07454,6631,6044.0,0,0,SIM,301.30474,000,000
49,15/09/1994,10,19,39,52,66,000,1,&nbsp,&nbsp,585.91074,268,1.06196,13716,2761.0,0,0,NÃO,000,000,000
50,18/09/1994,4,10,15,42,45,000,6,&nbsp,&nbsp,40.69971,460,53086,17759,1830.0,0,0,NÃO,000,000,000
51,22/09/1994,2,20,26,42,79,000,2,&nbsp,&nbsp,106.59579,211,1.01038,8524,3327.0,0,0,NÃO,000,000,000
52,25/09/1994,6,39,41,61,64,000,0,&nbsp,&nbsp,000,117,2.04916,6691,4767.0,0,0,SIM,239.75080,000,000
53,29/09/1994,40,42,48,64,69,000,2,&nbsp,&nbsp,262.62499,210,1.35952,9140,4155.0,0,0,NÃO,000,000,000
54,02/10/1994,13,21,32,33,66,000,2,&nbsp,&nbsp,123.11224,234,1.05224,10666,3071.0,0,0,NÃO,000,000,000
55,09/10/1994,12,14,60,66,68,000,1,&nbsp,&nbsp,318.09540,222,1.43286,12224,3462.0,0,0,NÃO,000,000,000
56,16/10/1994,5,18,24,43,48,000,4,&nbsp,&nbsp,80.96454,780,41520,24568,1753.0,0,0,NÃO,000,000,000
57,17/10/1994,31,49,52,63,71,000,0,&nbsp,&nbsp,000,114,1.85554,5761,4884.0,0,0,SIM,211.53164,000,000
58,23/10/1994,34,41,50,67,77,000,0,&nbsp,&nbsp,000,169,1.76666,8292,4789.0,0,0,SIM,510.09661,000,000
59,27/10/1994,20,35,37,42,71,000,0,&nbsp,&nbsp,000,509,1.85600,11231,4594.0,0,0,SIM,897.99937,000,000
60,30/10/1994,19,25,32,68,71,000,2,&nbsp,&nbsp,656.28153,439,94434,16495,3343.0,0,0,NÃO,000,000,000
61,06/11/1994,27,54,63,71,77,000,1,&nbsp,&nbsp,350.25313,241,1.45333,12492,3729.0,0,0,NÃO,000,000,000
62,10/11/1994,3,12,24,36,40,000,6,&nbsp,&nbsp,39.46872,431,54945,15279,2062.0,0,0,NÃO,000,000,000
63,13/11/1994,11,40,50,74,78,000,1,&nbsp,&nbsp,280.18769,141,1.98715,7948,4689.0,0,0,NÃO,000,000,000
64,20/11/1994,25,43,52,59,75,000,0,&nbsp,&nbsp,000,311,1.03273,12524,3411.0,0,0,SIM,321.17914,000,000
65,24/11/1994,3,25,60,62,75,000,1,&nbsp,&nbsp,655.23466,271,1.23268,11166,3980.0,0,0,NÃO,000,000,000
66,27/11/1994,66,73,75,76,79,000,3,&nbsp,&nbsp,94.67883,335,84787,9001,4197.0,0,0,NÃO,000,000,000
67,01/12/1994,5,23,36,67,70,000,1,&nbsp,&nbsp,246.64035,236,1.04509,11156,2941.0,0,0,NÃO,000,000,000
68,04/12/1994,7,52,68,69,76,000,1,&nbsp,&nbsp,293.04758,234,1.25234,11636,3350.0,0,0,NÃO,000,000,000
69,08/12/1994,16,61,65,72,78,000,0,&nbsp,&nbsp,000,208,1.21233,9342,3591.0,0,0,SIM,252.16443,000,000
70,11/12/1994,5,25,52,57,62,000,1,&nbsp,&nbsp,575.63484,379,85349,15129,2844.0,0,0,NÃO,000,000,000
71,15/12/1994,27,55,66,73,75,000,1,&nbsp,&nbsp,252.17588,191,1.32030,11031,3041.0,0,0,NÃO,000,000,000
72,18/12/1994,12,23,39,54,72,000,0,&nbsp,&nbsp,000,330,92807,12806,3182.0,0,0,SIM,306.26258,000,000
73,26/12/1994,6,17,49,65,70,000,5,&nbsp,&nbsp,161.64002,450,1.11542,20328,3285.0,0,0,NÃO,000,000,000
74,02/01/1995,41,47,49,70,74,000,2,&nbsp,&nbsp,202.43541,267,1.51637,12156,4441.0,0,0,NÃO,000,000,000
75,05/01/1995,4,27,46,53,55,000,0,&nbsp,&nbsp,000,191,1.26865,10721,3014.0,0,0,SIM,242.31198,000,000
76,08/01/1995,3,23,58,62,74,000,2,&nbsp,&nbsp,299.60312,273,1.30730,12673,3755.0,0,0,NÃO,000,000,000
77,12/01/1995,6,9,27,43,65,000,5,&nbsp,&nbsp,53.34861,403,66190,15484,2297.0,0,0,NÃO,000,000,000
78,15/01/1995,2,19,50,59,69,000,1,&nbsp,&nbsp,315.06374,296,1.06440,14707,2856.0,0,0,NÃO,000,000,000
79,19/01/1995,4,18,55,57,74,000,0,&nbsp,&nbsp,000,230,1.10292,11061,3058.0,0,0,SIM,253.67270,000,000
80,22/01/1995,35,42,55,60,78,000,3,&nbsp,&nbsp,194.66230,214,1.54353,10359,4252.0,0,0,NÃO,000,000,000
81,26/01/1995,13,31,45,56,63,000,6,&nbsp,&nbsp,42.85788,400,64287,14061,2439.0,0,0,NÃO,000,000,000
82,29/01/1995,13,34,55,64,80,000,1,&nbsp,&nbsp,301.77616,286,1.05516,13687,2940.0,0,0,NÃO,000,000,000
83,02/02/1995,17,20,30,33,68,000,1,&nbsp,&nbsp,251.34592,198,1.26943,10014,3346.0,0,0,NÃO,000,000,000
84,05/02/1995,1,8,13,53,61,000,3,&nbsp,&nbsp,105.03125,393,80176,17224,2439.0,0,0,NÃO,000,000,000
85,09/02/1995,3,20,27,32,61,000,1,&nbsp,&nbsp,284.79856,221,1.28868,10724,3541.0,0,0,NÃO,000,000,000
86,12/02/1995,13,49,57,67,78,000,1,&nbsp,&nbsp,336.51539,282,1.19332,14157,3169.0,0,0,NÃO,000,000,000
87,16/02/1995,18,29,37,51,57,000,2,&nbsp,&nbsp,139.08538,236,1.17869,10952,3386.0,0,0,NÃO,000,000,000
88,19/02/1995,11,25,49,51,53,000,4,&nbsp,&nbsp,83.29427,272,1.22491,12187,3645.0,0,0,NÃO,000,000,000
89,23/02/1995,2,32,40,53,54,000,0,&nbsp,&nbsp,000,152,1.80537,8120,4506.0,0,0,SIM,274.41524,000,000
90,26/02/1995,8,16,32,74,79,000,5,&nbsp,&nbsp,119.55251,343,94270,13629,3164.0,0,0,NÃO,000,000,000
91,05/03/1995,7,30,33,52,69,000,2,&nbsp,&nbsp,173.48932,296,1.17222,13303,3478.0,0,0,NÃO,000,000,000
92,09/03/1995,11,25,29,42,66,000,1,&nbsp,&nbsp,276.04828,306,90212,12924,2848.0,0,0,NÃO,000,000,000
93,12/03/1995,4,6,27,68,74,000,0,&nbsp,&nbsp,000,411,80709,16755,2640.0,0,0,SIM,331.71413,000,000
94,16/03/1995,1,19,59,65,80,000,10,&nbsp,&nbsp,73.21291,890,44991,28660,1863.0,0,0,NÃO,000,000,000
95,19/03/1995,6,43,50,63,71,000,0,&nbsp,&nbsp,000,198,1.84444,10593,4597.0,0,0,SIM,365.19874,000,000
96,23/03/1995,4,50,51,52,77,000,6,&nbsp,&nbsp,131.41941,347,1.21994,13979,4038.0,0,0,NÃO,000,000,000
97,26/03/1995,5,6,16,54,70,000,1,&nbsp,&nbsp,367.76584,401,91712,18661,2628.0,0,0,NÃO,000,000,000
98,30/03/1995,4,16,17,35,49,000,6,&nbsp,&nbsp,48.54052,530,54952,19954,1946.0,0,0,NÃO,000,000,000
99,02/04/1995,2,9,17,66,76,000,5,&nbsp,&nbsp,68.62790,467,73477,19632,2331.0,0,0,NÃO,000,000,000
100,06/04/1995,33,36,56,58,60,000,4,&nbsp,&nbsp,71.10921,271,1.04958,10263,3696.0,0,0,NÃO,000,000,000
101,09/04/1995,12,27,28,30,36,000,7,&nbsp,&nbsp,48.93716,852,40206,16678,2739.0,0,0,NÃO,000,000,000
102,16/04/1995,5,23,50,65,67,000,4,&nbsp,&nbsp,92.40302,377,98040,16659,2959.0,0,0,NÃO,000,000,000
103,23/04/1995,12,16,53,64,66,000,0,&nbsp,&nbsp,000,309,1.29237,16232,3281.0,0,0,SIM,399.34156,000,000
104,27/04/1995,20,30,36,48,53,000,2,&nbsp,&nbsp,365.86481,246,1.35117,12297,3604.0,0,0,NÃO,000,000,000
105,30/04/1995,3,7,45,46,65,000,1,&nbsp,&nbsp,341.89710,456,74977,18410,2476.0,0,0,NÃO,000,000,000
106,07/05/1995,20,21,43,45,67,000,0,&nbsp,&nbsp,000,235,1.73340,12629,4301.0,0,0,SIM,407.34820,000,000
107,11/05/1995,2,3,30,39,72,000,4,&nbsp,&nbsp,194.16663,386,95679,16894,2915.0,0,0,NÃO,000,000,000
108,14/05/1995,1,19,50,52,54,000,1,&nbsp,&nbsp,352.88111,323,1.09252,16307,2885.0,0,0,NÃO,000,000,000
109,18/05/1995,1,21,27,48,78,000,2,&nbsp,&nbsp,134.08506,187,1.43407,9870,3623.0,0,0,NÃO,000,000,000
110,21/05/1995,1,19,27,36,57,000,1,&nbsp,&nbsp,329.43618,519,63475,21550,2038.0,0,0,NÃO,000,000,000
111,25/05/1995,15,42,54,68,76,000,2,&nbsp,&nbsp,128.53982,388,66258,11580,2960.0,0,0,NÃO,000,000,000
